id,rate,year
29,0.087,2010
29,0.921,2011
30,0.231,2001
30,0.945,2002
30,0.898,2003
30,0.966,2004
30,0.894,2005
30,0.165,2006
30,0.474,2007
30,0.266,2008
30,0.459,2009
30,0.315,2010
30,0.996,2011
31,0.084,2001
31,0.438,2002
31,0.979,2003
31,0.771,2004
31,0.442,2005
31,0.62,2006
31,0.586,2007
31,0.721,2008
31,0.731,2009
31,0.997,2010
31,0.133,2011
32,0.476,2001
32,0.261,2002
32,0.796,2003
32,0.1,2004
32,0.707,2005
32,0.775,2006
32,0.304,2007
32,0.933,2008
32,0.456,2009
32,0.117,2010
32,0.445,2011
33,0.439,2001
33,0.842,2002
33,0.24,2003
33,0.381,2004
33,0.611,2005
33,0.213,2006
33,0.288,2007
33,0.014,2008
33,0.476,2009
33,0.061,2010
33,0.223,2011
34,0.184,2001
34,0.528,2002
34,0.05,2003
34,0.619,2004
34,0.537,2005
34,0.5,2006
34,0.803,2007
34,0.982,2008
34,0.269,2009
34,0.87,2010
34,0.477,2011
35,0.712,2001
35,0.736,2002
35,0.093,2003
35,0.273,2004
35,0.23,2005
35,0.698,2006
35,0.844,2007
35,0.933,2008
35,0.51,2009
35,0.144,2010
35,0.366,2011
36,0.781,2001
36,0.704,2002
36,0.625,2003
36,0.153,2004
36,0.492,2005
36,0.561,2006
36,0.939,2007
36,0.423,2008
36,0.873,2009
36,0.149,2010
36,0.361,2011
37,0.678,2001
37,0.287,2002
37,0.371,2003
37,0.488,2004
37,0.159,2005
37,0.553,2006
37,0.778,2007
37,0.802,2008
37,0.163,2009
37,0.491,2010
37,0.195,2011
38,0.976,2001
38,0.942,2002
38,0.514,2003
38,0.777,2004
38,0.748,2005
38,0.998,2006
38,0.921,2007
38,0.996,2008
38,0.166,2009
38,0.964,2010
38,0.042,2011
39,0.557,2001
39,0.518,2002
39,0.844,2003
39,0.957,2004
39,0.719,2005
39,0.246,2006
39,0.618,2007
39,0.556,2008
39,0.111,2009
39,0.379,2010
39,0.832,2011
40,0.453,2001
40,0.974,2002
40,0.939,2003
40,0.455,2004
40,0.922,2005
40,0.404,2006
40,0.574,2007
40,0.993,2008
40,0.403,2009
40,0.085,2010
40,0.295,2011
41,0.148,2001
41,0.096,2002
41,0.098,2003
41,0.189,2004
41,0.55,2005
41,0.798,2006
41,0.955,2007
41,0.237,2008
41,0.621,2009
41,0.461,2010
41,0.469,2011
42,0.482,2001
42,0.967,2002
42,0.117,2003
42,0.711,2004
42,0.157,2005
42,0.116,2006
42,0.571,2007
42,0.137,2008
42,0.081,2009
42,0.222,2010
42,0.027,2011
43,0.336,2001
43,0.109,2002
43,0.119,2003
43,0.944,2004
43,0.213,2005
43,0.232,2006
43,0.8,2007
43,0.107,2008
43,0.245,2009
43,0.948,2010
43,0.823,2011
44,0.943,2001
44,0.506,2002
44,0.826,2003
44,0.662,2004
44,0.785,2005
44,0.632,2006
44,0.211,2007
44,0.701,2008
44,0.154,2009
44,0.072,2010
44,0.859,2011
45,0.605,2001
45,0.42,2002
45,0.986,2003
45,0.122,2004
45,0.405,2005
45,0.893,2006
45,0.186,2007
45,0.653,2008
45,0.107,2009
45,0.416,2010
45,0.668,2011
46,0.573,2001
46,0.989,2002
46,0.799,2003
46,0.706,2004
46,0.717,2005
46,0.762,2006
46,0.864,2007
46,0.204,2008
46,0.964,2009
46,0.58,2010
46,0.891,2011
47,0.679,2001
47,0.156,2002
47,0.548,2003
47,0.8,2004
47,0.329,2005
47,0.347,2006
47,0.022,2007
47,1.0,2008
47,0.262,2009
47,0.289,2010
47,0.005,2011
48,0.357,2001
48,0.105,2002
48,0.986,2003
48,0.504,2004
48,0.54,2005
48,0.664,2006
48,0.65,2007
48,0.216,2008
48,0.132,2009
48,0.256,2010
48,0.01,2011
49,0.196,2001
49,0.869,2002
49,0.059,2003
49,0.793,2004
49,0.565,2005
49,0.703,2006
49,0.055,2007
49,0.988,2008
49,0.483,2009
49,0.879,2010
49,0.939,2011
50,0.241,2001
50,0.694,2002
50,0.575,2003
50,0.9,2004
50,0.516,2005
50,0.074,2006
50,0.362,2007
50,0.171,2008
50,0.461,2009
50,0.076,2010
50,0.275,2011
51,0.582,2001
51,0.607,2002
51,0.302,2003
51,0.012,2004
51,0.564,2005
51,0.82,2006
51,0.868,2007
51,0.656,2008
51,0.426,2009
51,0.895,2010
51,0.905,2011
52,0.521,2001
52,0.411,2002
52,0.385,2003
52,0.264,2004
52,0.078,2005
52,0.935,2006
52,0.809,2007
52,0.425,2008
52,0.798,2009
52,0.696,2010
52,0.86,2011
53,0.404,2001
53,0.348,2002
53,0.31,2003
53,0.635,2004
53,0.754,2005
53,0.61,2006
53,0.366,2007
53,0.217,2008
53,0.611,2009
53,0.239,2010
53,0.384,2011
54,0.386,2001
54,0.526,2002
54,0.166,2003
54,0.508,2004
54,0.83,2005
54,0.646,2006
54,0.696,2007
54,0.71,2008
54,0.724,2009
54,0.547,2010
54,0.07,2011
55,0.545,2001
55,0.541,2002
55,0.64,2003
55,0.102,2004
55,0.218,2005
55,0.595,2006
55,0.314,2007
55,0.623,2008
55,0.715,2009
55,0.627,2010
55,0.722,2011
56,0.968,2001
56,0.903,2002
56,0.254,2003
56,0.74,2004
56,0.14,2005
56,0.095,2006
56,0.033,2007
56,0.045,2008
56,0.955,2009
56,0.702,2010
56,0.08,2011
